race,credit_score,zipcode,will_default
black,575,71206,True
asian,755,71206,False
white,353,71202,True
white,707,71207,False
white,684,71204,False
white,595,71206,False
black,727,71207,False
hispanic,597,71202,False
black,384,71204,False
black,470,71206,True
white,742,71203,False
hispanic,441,71205,True
white,469,71201,True
black,705,71206,True
hispanic,470,71206,True
white,789,71203,False
hispanic,745,71204,True
hispanic,498,71201,True
asian,263,71200,True
hispanic,528,71205,True
hispanic,659,71204,False
hispanic,724,71206,False
asian,799,71206,False
asian,612,71200,False
asian,554,71200,True
white,659,71202,False
asian,633,71201,False
hispanic,348,71204,True
asian,715,71200,False
white,331,71203,True
asian,511,71200,False
asian,611,71204,False
asian,674,71207,False
asian,681,71206,False
hispanic,402,71205,True
asian,481,71206,False
black,409,71207,True
white,808,71202,False
white,600,71206,False
white,736,71202,False
hispanic,543,71202,True
black,535,71206,False
white,713,71206,False
asian,853,71201,False
asian,727,71206,False
asian,737,71200,False
white,375,71204,True
asian,375,71200,False
white,639,71200,False
white,766,71204,False
black,511,71202,False
hispanic,543,71200,False
black,525,71206,True
white,677,71202,False
asian,790,71200,False
asian,438,71200,True
asian,438,71206,True
white,452,71203,True
white,671,71202,False
white,832,71202,False
asian,637,71200,False
white,712,71202,False
black,581,71204,False
hispanic,687,71204,True
asian,509,71200,False
hispanic,679,71207,False
white,709,71202,False
black,545,71205,False
white,680,71203,False
black,402,71205,True
asian,744,71200,False
white,356,71202,False
asian,669,71204,False
black,505,71207,True
black,406,71207,True
white,746,71203,False
asian,620,71206,False
asian,750,71200,False
asian,553,71200,True
white,819,71206,False
white,801,71204,False
hispanic,661,71205,False
white,836,71204,False
hispanic,730,71202,False
white,893,71203,False
white,550,71202,True
black,489,71207,True
asian,506,71200,True
black,405,71206,True
black,598,71204,False
hispanic,719,71204,False
asian,698,71207,False
asian,721,71202,False
asian,592,71205,False
white,708,71200,False
white,737,71202,False
asian,495,71201,True
black,709,71202,False
white,367,71202,True
black,313,71204,True
white,637,71204,False
black,629,71207,False
asian,810,71202,False
white,812,71203,True
white,417,71205,True
asian,506,71201,True
hispanic,392,71200,True
black,547,71205,True
asian,776,71200,False
hispanic,392,71204,True
white,276,71202,True
asian,382,71201,False
hispanic,642,71207,True
black,718,71203,False
hispanic,768,71205,False
white,758,71202,False
white,784,71200,False
hispanic,592,71205,True
asian,443,71201,True
asian,622,71204,False
hispanic,730,71205,False
black,280,71205,True
white,822,71204,False
white,417,71203,True
black,409,71206,True
asian,642,71203,False
black,388,71206,True
white,281,71203,True
white,721,71202,False
hispanic,739,71200,False
hispanic,625,71204,True
asian,679,71200,False
white,834,71207,False
asian,605,71204,False
hispanic,793,71201,False
asian,877,71202,False
white,718,71200,False
black,487,71207,True
hispanic,782,71204,False
black,580,71206,True
asian,812,71200,False
hispanic,442,71204,False
asian,806,71207,False
asian,646,71201,False
white,651,71200,False
black,459,71205,False
black,579,71204,False
white,689,71202,False
asian,631,71202,False
black,308,71207,True
black,337,71204,True
hispanic,371,71204,True
white,655,71202,False
white,824,71204,False
hispanic,535,71206,False
hispanic,745,71204,False
black,327,71200,True
black,494,71204,True
hispanic,716,71205,False
asian,778,71200,False
black,403,71204,True
hispanic,592,71205,True
white,760,71203,False
white,755,71203,False
white,476,71203,True
black,522,71201,False
black,649,71206,False
white,651,71202,False
black,476,71207,True
hispanic,778,71203,False
black,523,71206,True
black,515,71205,False
asian,563,71201,False
white,596,71202,False
white,627,71200,False
black,545,71207,True
asian,718,71200,False
white,787,71201,True
asian,788,71202,False
asian,639,71200,False
asian,767,71204,False
asian,788,71206,False
white,606,71200,True
hispanic,345,71207,True
asian,754,71202,False
white,636,71203,True
black,578,71207,True
white,787,71203,False
black,713,71207,False
asian,811,71202,False
white,640,71200,False
black,651,71200,False
hispanic,705,71202,False
hispanic,417,71205,True
white,611,71202,False
black,380,71204,True
white,588,71203,True
white,556,71204,True
hispanic,469,71204,True
white,553,71202,True
hispanic,444,71206,False
hispanic,451,71204,True
black,438,71206,True
asian,713,71200,True
hispanic,523,71202,False
asian,593,71200,False
black,456,71204,True
white,623,71202,False
asian,723,71202,False
asian,765,71206,False
white,449,71203,True
white,735,71202,True
black,656,71207,False
asian,674,71202,False
asian,671,71202,False
white,654,71202,False
asian,690,71206,False
hispanic,586,71204,False
hispanic,373,71204,True
asian,520,71200,True
white,431,71201,True
white,737,71203,False
white,673,71204,False
white,626,71202,False
white,440,71203,False
asian,630,71203,True
hispanic,700,71204,False
asian,784,71203,False
white,816,71202,False
asian,500,71200,True
black,463,71200,False
hispanic,524,71205,True
white,668,71204,False
asian,762,71202,False
asian,706,71202,True
black,588,71204,True
white,612,71205,False
asian,485,71203,True
black,570,71205,True
white,789,71200,False
white,555,71207,True
asian,764,71204,False
white,805,71206,False
white,793,71202,False
asian,295,71200,True
white,706,71205,False
black,459,71202,False
hispanic,668,71206,False
white,698,71206,False
white,686,71207,True
asian,528,71200,False
white,758,71200,False
black,601,71206,True
white,618,71203,True
white,749,71202,False
asian,760,71204,False
black,848,71206,False
hispanic,630,71202,True
black,757,71202,False
black,674,71207,False
hispanic,310,71206,True
white,613,71203,True
hispanic,531,71200,True
asian,732,71202,False
black,464,71206,True
hispanic,705,71200,False
white,747,71202,False
white,558,71207,False
hispanic,576,71205,True
black,330,71207,True
black,301,71206,True
black,544,71207,True
white,584,71202,False
white,609,71203,True
white,572,71203,False
black,689,71206,True
hispanic,567,71204,False
hispanic,332,71204,True
hispanic,471,71204,False
asian,485,71202,False
hispanic,701,71204,False
hispanic,561,71204,False
hispanic,468,71206,False
asian,714,71206,False
white,617,71205,True
asian,644,71207,False
hispanic,478,71206,True
black,629,71202,False
asian,709,71206,False
black,314,71207,True
white,484,71202,True
asian,663,71200,False
hispanic,396,71204,True
white,676,71203,False
black,518,71207,False
white,714,71203,False
white,652,71202,False
white,413,71201,True
asian,615,71206,False
white,766,71203,False
white,817,71200,False
white,416,71202,True
hispanic,768,71204,False
white,647,71202,True
hispanic,678,71204,True
white,587,71202,False
asian,629,71201,True
white,657,71205,True
hispanic,543,71204,True
asian,771,71200,False
white,552,71207,True
black,430,71206,True
white,776,71203,False
asian,808,71204,False
white,747,71202,False
white,438,71200,True
black,399,71207,True
white,561,71203,True
asian,787,71204,False
white,651,71202,True
hispanic,807,71204,False
hispanic,363,71206,True
white,642,71202,False
asian,673,71200,True
white,761,71204,False
black,692,71200,False
white,759,71202,False
white,720,71204,False
hispanic,676,71200,False
white,743,71206,False
asian,719,71200,False
black,326,71207,True
black,493,71207,True
asian,364,71200,True
white,393,71203,True
asian,654,71203,True
hispanic,597,71205,False
asian,728,71201,False
white,681,71200,False
white,476,71201,True
white,761,71200,False
hispanic,580,71202,False
hispanic,314,71207,True
hispanic,522,71205,True
hispanic,600,71204,False
white,723,71202,False
black,455,71206,False
white,399,71203,True
white,802,71207,False
black,562,71200,True
white,428,71200,True
asian,297,71200,True
asian,698,71206,False
black,722,71204,False
white,815,71200,False
white,820,71203,False
black,409,71205,True
black,704,71206,False
white,634,71202,False
asian,651,71200,False
black,482,71206,True
white,492,71206,False
hispanic,792,71205,False
asian,753,71207,False
asian,596,71206,False
asian,733,71200,False
asian,524,71200,True
white,638,71201,False
white,644,71202,True
white,815,71202,False
asian,537,71200,True
black,533,71207,True
white,570,71200,True
black,662,71206,True
hispanic,530,71202,False
hispanic,306,71202,True
black,567,71207,True
asian,509,71201,True
black,586,71202,False
black,400,71206,True
white,709,71207,False
black,429,71204,True
white,684,71202,False
asian,797,71204,False
white,751,71203,False
hispanic,794,71201,False
white,846,71207,False
asian,752,71201,False
white,743,71204,False
white,611,71202,False
white,657,71203,False
hispanic,748,71205,False
hispanic,374,71206,True
hispanic,581,71204,False
white,411,71202,True
black,360,71204,True
hispanic,735,71202,True
white,882,71207,False
hispanic,509,71205,True
asian,653,71200,False
black,419,71205,True
black,707,71207,False
asian,797,71201,False
white,704,71201,False
asian,773,71200,False
white,694,71202,False
hispanic,543,71202,False
hispanic,423,71207,True
white,782,71203,False
asian,613,71206,False
hispanic,684,71205,False
black,603,71206,False
asian,793,71206,False
black,613,71206,False
hispanic,377,71200,True
white,379,71200,True
white,776,71203,True
hispanic,503,71207,False
asian,651,71207,False
white,525,71201,False
white,618,71200,True
white,744,71206,False
white,700,71204,False
hispanic,617,71204,False
white,620,71205,False
white,752,71202,False
black,415,71206,True
white,868,71202,False
white,819,71202,False
white,704,71202,False
black,578,71205,True
hispanic,538,71204,True
asian,868,71201,False
white,732,71200,False
hispanic,794,71202,False
hispanic,796,71200,False
black,544,71205,True
white,332,71203,True
hispanic,760,71205,False
hispanic,785,71204,False
hispanic,443,71205,True
black,671,71200,False
hispanic,517,71202,False
asian,592,71206,False
hispanic,791,71205,False
black,654,71202,False
hispanic,510,71207,True
hispanic,704,71205,False
asian,683,71200,False
white,696,71201,False
white,602,71203,True
hispanic,735,71204,False
white,518,71205,True
white,745,71203,False
white,586,71204,False
asian,514,71201,True
asian,781,71206,False
black,468,71206,True
asian,404,71200,True
asian,596,71204,False
black,638,71201,True
asian,708,71201,False
hispanic,667,71205,True
black,438,71205,True
black,462,71207,True
white,721,71200,False
hispanic,598,71206,False
white,588,71205,False
white,883,71205,False
asian,482,71201,True
hispanic,751,71207,False
hispanic,557,71205,True
black,355,71200,True
asian,673,71201,False
white,386,71202,True
asian,671,71204,False
black,470,71207,True
hispanic,585,71204,False
white,558,71201,True
black,329,71207,True
black,469,71207,True
hispanic,750,71202,False
hispanic,382,71207,True
hispanic,458,71204,True
asian,626,71206,False
white,506,71203,True
white,776,71205,False
white,735,71206,False
hispanic,493,71202,False
asian,893,71204,False
asian,729,71204,False
asian,671,71202,False
hispanic,726,71204,False
white,502,71206,False
white,753,71204,False
white,680,71202,False
asian,615,71201,True
black,658,71201,False
hispanic,390,71204,True
white,757,71200,False
black,428,71206,True
black,373,71207,True
black,393,71206,True
asian,611,71204,False
asian,596,71204,False
hispanic,694,71202,False
black,310,71205,True
hispanic,397,71204,True
hispanic,583,71205,False
asian,671,71200,False
white,674,71202,False
white,778,71204,False
asian,795,71201,False
asian,580,71200,True
white,722,71202,False
white,645,71203,False
white,720,71206,False
white,848,71204,False
white,740,71203,False
white,762,71203,False
asian,710,71207,False
asian,651,71204,False
white,638,71202,True
white,609,71206,False
white,727,71202,False
white,569,71202,False
asian,717,71200,False
asian,774,71206,False
black,749,71206,False
hispanic,609,71204,True
asian,719,71201,False
asian,641,71202,False
white,693,71200,True
black,339,71206,True
black,572,71204,True
hispanic,452,71204,True
white,673,71202,False
black,619,71205,False
hispanic,468,71204,True
white,722,71203,False
black,318,71207,True
white,383,71202,True
hispanic,756,71200,False
hispanic,773,71206,False
hispanic,485,71205,True
white,523,71202,False
asian,798,71202,False
hispanic,356,71205,True
white,828,71202,False
white,464,71204,False
asian,735,71200,False
white,719,71200,False
hispanic,502,71204,True
black,486,71207,True
white,604,71203,False
asian,769,71201,False
black,583,71206,False
white,591,71203,True
hispanic,756,71204,False
white,621,71204,True
asian,377,71201,False
white,757,71204,False
black,297,71202,True
asian,795,71200,False
white,571,71203,False
black,432,71206,True
hispanic,583,71205,False
black,541,71205,True
asian,764,71202,False
asian,596,71207,False
asian,644,71206,False
hispanic,615,71203,False
white,421,71203,True
hispanic,416,71205,True
black,549,71204,True
white,753,71203,False
white,746,71202,False
white,638,71203,False
asian,613,71207,True
white,693,71202,False
black,387,71206,True
black,556,71204,True
asian,673,71200,False
hispanic,510,71204,False
hispanic,645,71202,False
white,754,71200,False
asian,695,71200,False
asian,757,71200,False
hispanic,325,71204,True
asian,614,71200,False
white,640,71203,True
hispanic,594,71202,False
hispanic,300,71205,True
asian,531,71202,False
white,698,71204,False
white,696,71203,True
white,585,71202,False
white,718,71204,False
white,720,71202,False
asian,710,71200,False
hispanic,589,71202,False
asian,635,71201,True
asian,674,71205,False
black,573,71202,False
white,716,71203,False
asian,580,71204,False
white,764,71202,False
asian,568,71206,False
white,642,71206,False
white,811,71203,False
white,492,71200,True
white,639,71202,False
hispanic,578,71206,True
asian,689,71202,True
white,639,71203,True
white,604,71200,True
asian,668,71206,False
hispanic,478,71206,True
hispanic,580,71206,False
asian,697,71207,False
asian,660,71200,False
asian,790,71200,False
asian,601,71206,False
asian,687,71202,False
hispanic,743,71205,True
black,552,71207,True
asian,641,71200,False
hispanic,510,71205,False
hispanic,502,71204,True
asian,614,71201,False
white,784,71202,False
hispanic,527,71205,True
white,611,71202,False
black,590,71206,False
white,710,71202,True
hispanic,558,71204,False
black,331,71202,True
asian,721,71201,False
black,631,71206,False
asian,763,71200,False
white,691,71203,False
asian,549,71200,True
hispanic,613,71205,True
asian,722,71202,False
black,552,71200,False
black,755,71207,False
asian,751,71206,False
asian,731,71200,False
white,613,71203,True
white,642,71202,False
asian,697,71200,True
white,652,71204,False
white,756,71206,False
hispanic,529,71202,False
black,525,71207,True
white,545,71203,True
black,526,71207,True
white,759,71204,False
asian,635,71202,False
black,621,71207,False
white,748,71202,False
white,723,71203,True
hispanic,510,71205,True
asian,553,71200,True
white,529,71202,True
asian,618,71201,False
white,319,71202,True
white,505,71200,False
black,405,71207,True
hispanic,727,71206,False
white,828,71207,False
black,692,71207,False
asian,621,71206,False
white,734,71200,False
black,496,71207,True
hispanic,480,71204,True
hispanic,572,71204,True
hispanic,497,71205,True
white,654,71207,False
black,498,71207,True
asian,818,71206,False
hispanic,577,71206,True
asian,594,71201,False
white,646,71202,True
asian,818,71200,False
hispanic,539,71204,True
white,714,71203,False
black,600,71205,True
hispanic,804,71204,True
white,600,71200,False
hispanic,493,71206,True
black,435,71206,True
white,643,71206,False
asian,648,71201,False
black,334,71204,True
hispanic,776,71204,False
asian,449,71207,False
asian,688,71200,False
asian,698,71200,False
hispanic,487,71205,True
hispanic,416,71207,True
asian,673,71203,False
black,312,71204,True
asian,740,71201,False
hispanic,606,71207,False
black,629,71205,False
white,522,71203,False
hispanic,506,71200,False
white,781,71202,False
white,718,71206,False
asian,789,71200,False
white,784,71204,False
asian,678,71204,False
black,574,71206,False
white,757,71200,False
hispanic,789,71200,False
white,582,71202,False
black,604,71204,True
white,617,71201,True
black,655,71206,False
white,719,71202,False
black,351,71205,True
black,277,71204,True
black,468,71207,True
asian,768,71201,False
white,641,71204,False
asian,656,71201,False
white,554,71203,True
asian,732,71207,True
asian,679,71200,False
hispanic,771,71205,False
white,665,71203,False
white,659,71202,False
hispanic,585,71205,True
white,683,71202,True
white,372,71202,True
black,378,71206,True
black,543,71206,True
black,565,71207,False
hispanic,485,71204,True
hispanic,418,71205,True
asian,698,71201,False
asian,691,71201,False
white,391,71202,True
black,681,71200,False
white,896,71204,False
hispanic,297,71205,True
white,748,71202,False
asian,603,71200,False
hispanic,540,71205,True
white,799,71200,False
white,593,71202,False
hispanic,563,71200,False
hispanic,709,71206,False
hispanic,524,71202,False
black,553,71206,False
black,523,71200,False
black,625,71206,False
black,355,71205,True
hispanic,382,71205,True
black,496,71207,True
hispanic,458,71200,False
asian,662,71204,False
white,783,71203,False
asian,804,71206,False
black,439,71207,True
black,358,71200,True
hispanic,498,71205,True
black,511,71206,True
white,643,71202,False
white,513,71202,True
asian,734,71200,False
hispanic,674,71202,False
asian,614,71200,False
black,382,71207,True
white,392,71207,True
white,653,71200,False
asian,625,71202,False
asian,699,71203,True
asian,447,71201,True
white,746,71203,False
hispanic,427,71205,True
asian,785,71201,False
black,493,71205,True
asian,651,71200,False
hispanic,545,71204,True
asian,508,71205,False
black,399,71205,True
asian,713,71204,False
white,718,71201,False
hispanic,628,71205,False
white,691,71203,True
white,542,71200,False
black,329,71207,True
white,379,71202,True
hispanic,825,71202,False
white,786,71202,False
black,759,71204,False
white,471,71203,True
hispanic,399,71205,True
hispanic,853,71204,False
white,764,71202,False
asian,630,71204,False
hispanic,380,71205,True
hispanic,318,71200,True
hispanic,700,71204,False
asian,763,71200,False
hispanic,742,71204,False
white,663,71202,True
black,690,71207,False
asian,714,71200,False
black,756,71204,False
hispanic,295,71204,True
asian,725,71207,False
black,746,71207,False
black,333,71206,True
white,849,71204,False
asian,560,71200,False
black,766,71202,False
black,347,71204,True
white,839,71206,False
asian,666,71201,False
white,783,71201,False
black,436,71206,True
asian,746,71200,False
black,424,71206,True
hispanic,645,71205,False
black,600,71200,False
hispanic,637,71204,False
black,635,71205,True
white,696,71203,False
white,723,71202,False
asian,672,71204,False
white,780,71204,False
white,737,71202,False
black,599,71204,True
black,431,71205,True
asian,589,71203,False
white,820,71204,False
hispanic,433,71205,True
hispanic,799,71204,False
black,346,71201,True
asian,646,71201,False
black,321,71207,True
asian,531,71200,True
white,736,71206,False
hispanic,583,71204,True
white,622,71202,False
hispanic,400,71204,True
hispanic,818,71204,False
hispanic,651,71204,False
asian,729,71202,False
asian,588,71206,False
black,664,71202,False
white,647,71202,True
black,384,71207,True
asian,802,71201,False
hispanic,742,71204,False
black,463,71207,True
black,559,71206,False
hispanic,424,71201,True
white,814,71202,False
white,315,71202,True
white,644,71202,False
hispanic,498,71204,False
asian,702,71201,False
hispanic,571,71204,True
black,299,71206,True
asian,623,71202,False
asian,793,71204,False
hispanic,299,71206,True
white,325,71202,True
hispanic,629,71206,False
hispanic,563,71205,True
white,729,71206,False
hispanic,487,71205,True
asian,439,71200,True
white,499,71200,False
black,425,71205,True
hispanic,601,71204,True
hispanic,330,71205,True
white,566,71204,True
white,618,71202,True
asian,782,71205,False
white,659,71200,False
white,800,71200,False
white,600,71206,False
asian,616,71206,False
asian,721,71204,False
white,689,71203,False
hispanic,630,71204,False
asian,526,71204,True
white,656,71204,False
asian,651,71202,False
black,519,71202,False
hispanic,519,71205,True
black,635,71204,True
asian,663,71200,False
black,646,71204,False
hispanic,542,71205,False
white,777,71202,False
hispanic,798,71206,False
black,812,71205,False
white,718,71206,False
asian,416,71202,True
white,634,71202,False
black,605,71206,False
black,614,71206,True
black,518,71206,False
asian,865,71201,False
white,735,71202,False
asian,663,71205,False
white,753,71205,False
white,805,71202,False
hispanic,681,71206,False
black,564,71207,True
white,864,71203,False
hispanic,462,71204,True
white,652,71201,False
white,655,71202,False
hispanic,455,71205,True
asian,813,71200,False
white,532,71203,True
white,524,71202,False
hispanic,536,71205,True
asian,672,71201,False
black,597,71202,False
black,565,71206,True
hispanic,356,71202,True
asian,801,71201,False
black,486,71206,True
asian,744,71201,False
white,535,71202,True
white,596,71202,False
asian,694,71202,False
asian,752,71201,False
white,520,71206,True
white,627,71203,True
asian,490,71202,True
asian,575,71202,True
asian,793,71204,False
black,707,71206,False
white,647,71203,False
hispanic,485,71205,True
white,750,71202,False
white,671,71202,False
black,650,71205,True
black,442,71207,True
black,416,71207,True
asian,795,71200,False
hispanic,514,71206,True
white,715,71200,False
hispanic,701,71205,False
asian,489,71200,True
hispanic,525,71204,True
hispanic,761,71202,False
white,666,71202,True
hispanic,690,71201,True
white,800,71203,False
white,862,71202,False
asian,724,71203,False
black,540,71206,False
white,707,71202,False
white,682,71202,False
hispanic,466,71204,True
white,546,71206,False
white,491,71206,True
asian,792,71200,False
black,454,71205,True
hispanic,478,71204,True
hispanic,634,71207,True
white,464,71205,True
black,311,71205,True
asian,752,71204,False
hispanic,552,71205,True
black,633,71207,True
white,372,71203,True
white,669,71200,False
hispanic,613,71202,False
hispanic,790,71204,False
asian,428,71203,True
white,666,71203,False
hispanic,811,71204,False
hispanic,774,71204,False
asian,767,71201,False
hispanic,562,71207,False
white,618,71202,False
white,307,71202,True
black,566,71207,False
black,322,71207,True
white,665,71204,False
hispanic,704,71206,False
hispanic,665,71204,False
white,524,71200,False
hispanic,559,71207,True
black,543,71206,False
hispanic,788,71204,False
white,658,71206,False
white,633,71200,False
hispanic,602,71205,False
white,681,71204,False
asian,698,71200,False
asian,680,71200,False
hispanic,677,71202,False
white,749,71203,False
black,332,71205,True
asian,752,71201,False
asian,745,71205,False
white,564,71202,True
asian,667,71201,False
black,594,71204,False
black,749,71205,False
white,411,71202,True
white,731,71202,False
white,683,71204,False
hispanic,701,71206,False
asian,696,71201,False
white,665,71200,False
hispanic,747,71206,False
black,514,71202,False
hispanic,577,71205,True
hispanic,639,71202,False
asian,721,71204,False
white,546,71203,True
hispanic,584,71204,True
asian,852,71200,False
asian,613,71204,True
black,579,71204,False
black,661,71202,False
white,644,71204,False
black,697,71200,False
asian,764,71204,False
white,364,71207,True
hispanic,490,71202,False
white,807,71205,False
white,794,71205,False
black,742,71206,False
black,531,71200,False
hispanic,441,71204,True
hispanic,522,71207,True
asian,838,71203,False
asian,696,71202,False
asian,606,71204,False
hispanic,673,71200,False
hispanic,749,71202,False
black,415,71205,True
white,736,71202,False
black,294,71205,True
black,316,71207,True
asian,651,71203,False
black,403,71205,True
hispanic,548,71207,False
asian,494,71206,False
black,409,71206,True
white,587,71206,False
asian,701,71201,False
white,323,71202,True
white,787,71202,False
black,439,71205,True
white,600,71203,True
hispanic,673,71204,False
asian,661,71206,False
white,627,71203,True
black,459,71207,True
asian,782,71200,False
asian,685,71204,False
white,326,71203,True
hispanic,388,71204,True
black,297,71206,True
asian,817,71200,False
black,655,71206,False
white,315,71203,True
white,424,71202,True
hispanic,336,71204,True
black,423,71207,True
white,696,71206,False
white,557,71206,False
asian,759,71200,False
hispanic,823,71207,False
black,551,71202,False
black,579,71207,False
white,726,71200,False
black,586,71205,True
white,644,71204,False
white,854,71204,False
white,388,71202,True
white,785,71200,False
white,729,71202,False
hispanic,764,71200,False
hispanic,405,71202,True
asian,679,71202,False
black,521,71203,True
black,469,71206,True
asian,326,71202,True
asian,322,71201,False
white,657,71203,False
hispanic,699,71206,True
asian,705,71204,False
asian,756,71202,False
black,660,71204,False
white,702,71203,False
black,319,71207,False
asian,776,71200,False
white,775,71204,False
white,669,71200,False
black,543,71207,True
white,753,71202,False
asian,416,71202,True
asian,606,71201,False
asian,560,71200,False
asian,720,71204,False
asian,715,71200,False
white,744,71203,False
white,701,71203,True
hispanic,775,71205,False
white,788,71204,False
white,687,71202,False
black,601,71201,True
white,810,71203,False
black,516,71206,True
white,655,71203,False
white,737,71200,False
white,704,71203,False
white,701,71203,False
white,680,71203,False
black,336,71207,True
hispanic,403,71207,True
white,789,71203,False
black,398,71203,True
hispanic,253,71205,True
black,625,71204,False
asian,634,71207,False
white,777,71203,False
asian,854,71204,False
asian,822,71201,False
white,792,71202,False
white,716,71203,False
black,303,71201,True
asian,807,71207,False
white,564,71207,True
white,818,71202,False
asian,691,71200,False
hispanic,586,71204,True
white,751,71207,False
white,600,71202,True
hispanic,620,71202,False
white,633,71202,True
white,830,71202,False
black,388,71200,True
white,586,71206,False
white,378,71202,True
hispanic,671,71202,True
black,743,71205,False
white,799,71204,False
black,457,71206,True
white,783,71203,False
asian,642,71200,False
white,542,71206,True
asian,569,71202,False
black,448,71204,False
hispanic,789,71206,False
white,764,71202,False
white,834,71201,False
white,412,71202,True
asian,673,71204,False
black,486,71204,False
asian,675,71201,False
white,635,71205,False
asian,613,71202,False
white,717,71202,False
asian,557,71201,False
white,509,71203,True
asian,640,71204,False
white,828,71200,False
white,597,71202,False
black,641,71204,False
black,476,71204,True
asian,550,71200,False
asian,741,71200,False
white,698,71200,False
black,287,71206,True
black,387,71206,True
white,412,71204,True
white,445,71201,True
black,537,71206,False
white,677,71202,False
white,457,71207,True
asian,712,71207,True
white,410,71201,True
white,753,71203,False
black,627,71204,False
asian,609,71200,False
black,489,71207,True
white,750,71200,False
black,587,71205,True
hispanic,529,71201,True
white,435,71207,True
white,312,71201,True
white,527,71202,True
asian,754,71206,False
white,701,71203,False
asian,612,71202,False
hispanic,598,71202,False
white,590,71202,False
black,695,71205,False
